area,rooms_num,market,advertiser_type,lift,price,building_ownership,construction_status,floor,outdoor,car,heating,build_year,building_type,windows_type,media_types,security_types,extras_types,building_material,equipment_types,street,neighbourhood
42,2,locuință nouă,agenție,False,108980,,gata de utilizare,6/10,,,,1975,clădire de apartamente,,"('cablu tv', 'internet')",,,,"('mașină de spălat', 'plită', 'TV', 'cuptor', 'frigider', 'mobilier')",Strada Mehedinti,Manastur
68,3,locuință nouă,agenție,False,137980,,gata de utilizare,4/4,"('balcon',)",,,1975,clădire de apartamente,lemn,"('cablu tv',)",,"('bucătărie separată',)",,"('mobilier',)",Strada Bucegi,Manastur
91,3,locuință nouă,agenție,False,211980,,gata de utilizare,9/10,"('balcon',)",,centrală pe gaz,1999,clădire de apartamente,,"('cablu tv', 'internet')","('interfon',)",,,"('mașină de spălat', 'plită', 'TV', 'cuptor', 'frigider', 'mobilier')",Strada Arinilor,Manastur
48,3,locuință nouă,agenție,False,109000,,gata de utilizare,4/4,,,centralizată,1977,,,,,,,,,Manastur
36,2,locuință nouă,agenție,False,86980,,gata de utilizare,4/4,,,centrală pe gaz,1977,clădire de apartamente,,"('cablu tv', 'internet')",,,,"('mașină de spălat', 'plită', 'TV', 'cuptor', 'frigider', 'mobilier')",Strada Mehedinti,Manastur
67,3,locuință nouă,agenție,False,159000,,gata de utilizare,4/4,"('balcon',)",,,1980,,,,,,,,,Marasti
52,2,locuință nouă,agenție,True,230000,drept de proprietate,gata de utilizare,1/6,"('balcon',)",,centralizată,2018,bloc,plastic,"('cablu tv', 'internet', 'telefon')","('ușă metalică', 'interfon')","('aer condiționat',)",cărămidă,,Calea Manastur,Plopilor
43,2,locuință nouă,agenție,False,124980,,gata de utilizare,10/10,"('balcon',)",,,1977,clădire de apartamente,,"('internet',)",,"('bucătărie separată',)",,"('mașină de spălat', 'plită', 'TV', 'cuptor', 'frigider', 'mobilier')",Strada Mehedinti,Manastur
52,2,locuință nouă,agenție,False,137000,,gata de utilizare,4/x,,,centralizată,0,,,,,,,,,Gheorgheni
31,1,locuință nouă,agenție,False,71000,,necesita renovare,10/10,"('balcon',)",,,1980,,,,,,,,Strada Bucegi,Manastur
40,2,locuință utilizată,agenție,True,140000,,,4/6,"('balcon',)",,centralizată,2019,,,,,,,,,Bulgaria
52,2,locuință nouă,agenție,True,165000,,,4/6,"('balcon',)",,,2023,,,,,"('aer condiționat',)",,,,Dambul Rotund
54,4,locuință utilizată,agenție,False,110000,drept de proprietate,gata de utilizare,4/4,,,centralizată,0,bloc,plastic,"('cablu tv', 'internet')","('ușă metalică', 'interfon')","('bucătărie separată',)",cărămidă,"('mobilier', 'cuptor', 'plită')",,Manastur
43,2,locuință nouă,agenție,True,125000,,gata de utilizare,1/10,"('balcon',)",,,2013,,,,,,,,,Someseni
30,2,locuință nouă,agenție,False,87000,,gata de utilizare,4/x,,,,0,,,,,,,,,Gheorgheni
54,3,locuință nouă,agenție,False,120000,,,1/4,"('balcon',)",,,1977,,,,,,,,,Manastur
45,2,locuință utilizată,agenție,True,164999,,,4/4,,,centralizată,2012,,,,"('supraveghere video',)","('aer condiționat',)",,,,Intre Lacuri
51,2,locuință nouă,agenție,False,136000,,,2/x,"('balcon',)",,centralizată,1985,,,,,,,,,Intre Lacuri
56,2,locuință nouă,agenție,True,152000,,,1/3,"('balcon',)",,centralizată,2023,,,,,,,,,Borhanci
50,3,locuință nouă,agenție,False,125000,,gata de utilizare,3/6,"('balcon',)",,centralizată,2000,,,,,,,,,
33,1,locuință nouă,agenție,False,78000,,gata de utilizare,9/10,,,,1980,,,,,,,,,Manastur
58,3,locuință utilizată,agenție,True,130000,,gata de utilizare,6/7,"('balcon',)",garaj,centrală pe gaz,2016,bloc,plastic,"('cablu tv', 'internet')","('ușă metalică', 'interfon', 'supraveghere video')",,cărămidă,"('frigider', 'mobilier', 'cuptor', 'plită', 'TV', 'mașină de spălat')",,Manastur
45,2,locuință nouă,agenție,True,128000,,,7/10,"('balcon',)",,centralizată,2000,,,,,,,,,Dambul Rotund
52,2,locuință nouă,agenție,False,135000,,gata de utilizare,4/4,"('balcon',)",,centralizată,2005,,,,,,,,,Intre Lacuri
67,3,locuință nouă,agenție,True,170000,,,2/7,,,,2023,,,,,,,,,Sopor
60,2,locuință utilizată,agenție,False,175000,,,,,,,0,,,,,,,,,Gruia
114,4,locuință nouă,agenție,False,239500,,gata de utilizare,9/10,"('balcon',)",,,1976,clădire de apartamente,,"('cablu tv',)","('interfon',)",,,"('mașină de spălat', 'plită', 'TV', 'cuptor', 'frigider', 'mobilier')",Calea Manastur,Plopilor
57,3,locuință nouă,agenție,False,122980,,gata de utilizare,7/10,"('balcon',)",,,1975,clădire de apartamente,,"('cablu tv', 'internet')","('interfon',)",,,"('mașină de spălat vasele', 'plită', 'TV', 'cuptor', 'frigider', 'mobilier')",Strada Mehedinti,Manastur
56,2,locuință nouă,agenție,True,176000,,gata de utilizare,5/6,"('balcon',)",,centralizată,2016,,,,,,,,,Buna Ziua
60,3,locuință utilizată,agenție,False,165000,,,3/x,,,,1997,,,,,,,,,Marasti
61,2,locuință nouă,agenție,False,144000,,,5/x,,,,0,,,,,,,,Strada Strungarilor,Dambul Rotund
74,3,locuință utilizată,agenție,False,234990,,,2/x,,,,0,,,,,,,,Strada George Baritiu,Centru
60,3,locuință nouă,agenție,False,160000,,gata de utilizare,4/4,"('balcon',)",,,1980,,,,,,,,,Marasti
80,3,locuință utilizată,agenție,False,220000,,,9/x,,,,0,,,,,,,,Strada Taberei,Manastur
47,2,locuință nouă,agenție,True,153000,,gata de utilizare,9/x,"('balcon',)",,centralizată,2015,,,,,,,,,Andrei Muresanu
45,2,locuință nouă,agenție,False,124900,,,4/x,,,,0,,,,,,,,Strada Garii,Dambul Rotund
67,3,locuință nouă,agenție,True,215000,,gata de utilizare,8/11,,,centralizată,2014,,,,,,,,,Gheorgheni
55,2,locuință utilizată,agenție,False,130000,,,8/x,,,,0,,,,,,,,Strada Aurel Vlaicu,Intre Lacuri
57,2,locuință utilizată,agenție,True,164000,,,5/7,"('balcon',)",,centralizată,2016,,,,,"('aer condiționat',)",,,,Buna Ziua
78,3,locuință nouă,agenție,False,240000,,gata de utilizare,3/4,"('balcon',)",,centralizată,1985,,,,,,,,,Marasti
86,3,locuință nouă,agenție,True,185000,,gata de utilizare,3/12,,,centralizată,2020,,,"('internet',)",,,,"('mobilier',)",,
130,4,locuință nouă,agenție,False,550000,,,3/3,"('balcon',)",,centralizată,0,,,,,,,,,Grigorescu
68,3,locuință utilizată,agenție,False,245000,,gata de utilizare,2/2,"('balcon',)",,centralizată,2016,,,,,"('aer condiționat',)",,,,Borhanci
78,3,locuință nouă,agenție,False,289000,,necesita renovare,2/2,"('balcon',)",,,0,,,,,,,,,Centru
95,3,locuință nouă,agenție,False,420000,,gata de utilizare,1/4,"('balcon',)",,centralizată,2000,,,,,,,,,Andrei Muresanu
70,3,locuință utilizată,agenție,False,175000,,,1/x,,,,0,,,,,,,,,Marasti
70,3,locuință nouă,agenție,False,175000,,gata de utilizare,1/4,"('balcon',)",,centralizată,2008,,,,,"('aer condiționat',)",,,,Manastur
71,3,locuință nouă,agenție,True,236000,,gata de utilizare,3/3,"('terasă',)",garaj,centrală pe gaz,0,bloc,plastic,"('cablu tv', 'internet')","('ușă metalică', 'interfon', 'supraveghere video', 'obloane')","('aer condiționat',)",cărămidă,"('mașină de spălat vasele', 'frigider', 'mobilier', 'cuptor', 'plită', 'TV', 'mașină de spălat')",,Someseni
73,3,locuință nouă,agenție,True,195000,,,4/5,"('balcon',)",,,2023,,,,,,,,,Dambul Rotund
56,2,locuință nouă,agenție,True,295000,,gata de utilizare,1/3,"('balcon',)",,centralizată,2000,,,,,,,,,Centru
52,2,locuință nouă,agenție,True,112000,,necesita renovare,3/10,"('balcon',)",,,1985,,,,,,,,,Manastur
28,1,locuință utilizată,agenție,False,73000,,,8/10,,,,1980,,,,,,,,,Gheorgheni
40,2,locuință nouă,agenție,False,132000,,gata de utilizare,0/3,,,centralizată,1977,,,,,,,,,Centru
48,2,locuință nouă,agenție,False,130000,,gata de utilizare,0/4,,,centralizată,1977,,,,,,,,,Gheorgheni
50,2,locuință nouă,agenție,False,155000,,,6/6,,,,0,,,,,,,,,Marasti
74,3,locuință nouă,agenție,False,315000,,,7/7,,,,0,,,,,,,,,Zorilor
87,3,locuință nouă,agenție,False,286000,,,7/8,,,,2019,,,,,,,,,Sopor
200,4,locuință nouă,agenție,False,590000,,,3/4,,,,2014,,,,,,,,,Buna Ziua
87,3,locuință nouă,agenție,False,320000,,,3/10,,,,2015,,,,,,,,,Gheorgheni
77,3,locuință nouă,agenție,False,255000,,,2/4,,,,2021,,,,,,,,,Marasti
65,3,locuință nouă,agenție,False,220000,,,1/4,,,,2021,,,,,,,,,Marasti
51,2,locuință nouă,agenție,False,155000,,,4/4,,,,0,,,,,,,,,Marasti
49,2,locuință nouă,agenție,False,85000,,,4/4,,,,0,,,,,,,,,Marasti
66,3,locuință nouă,agenție,False,295000,,,6/6,,,,2018,,,,,,,,,Iris
100,4,locuință nouă,agenție,False,235000,,,0/10,,,,0,,,,,,,,,Plopilor
49,2,locuință nouă,agenție,False,125000,,,0/4,,,,0,,,,,,,,,Gheorgheni
54,3,locuință nouă,agenție,False,167000,,,5/5,,,,0,,,,,,,,,Gheorgheni
57,3,locuință nouă,agenție,False,180000,,,0/4,,,,0,,,,,,,,,Grigorescu
90,4,locuință nouă,agenție,False,269900,,,5/18,,,,0,,,,,,,,,Centru
80,3,locuință nouă,agenție,False,245000,,,0/3,,,,0,,,,,,,,,Centru
80,3,locuință nouă,agenție,False,395000,,,6/6,,,,2018,,,,,,,,,Gheorgheni
62,2,locuință nouă,agenție,False,144000,,,5/6,,,,2022,,,,,,,,,Dambul Rotund
34,2,locuință nouă,agenție,False,78000,,,1/4,,,,0,,,,,,,,,Manastur
58,2,locuință nouă,agenție,False,183000,,,1/2,,,,2015,,,,,,,,,Borhanci
124,3,locuință nouă,agenție,False,450000,,,3/3,,,,2008,,,,,,,,,Andrei Muresanu
79,3,locuință nouă,agenție,False,206700,,,1/2,,,,2023,,,,,,,,,Europa
75,3,locuință nouă,agenție,False,235000,,,2/8,,,,0,,,,,,,,,Gheorgheni
49,2,locuință nouă,agenție,False,150000,,,0/1,,,,0,,,,,,,,,Marasti
53,2,locuință nouă,agenție,False,145000,,,8/8,,,,2017,,,,,,,,,Buna Ziua
52,2,locuință nouă,agenție,False,265000,,,0/1,,,,0,,,,,,,,,Gruia
77,3,locuință nouă,agenție,False,234900,,,3/6,,,,2019,,,,,,,,,Marasti
35,2,locuință nouă,agenție,False,72000,,,5/5,,,,0,,,,,,,,,Marasti
65,3,locuință nouă,agenție,False,174999,,,1/1,,,,0,,,,,,,,,Marasti
59,2,locuință nouă,agenție,False,197000,,,5/6,,,,2021,,,,,,,,,Marasti
35,2,locuință nouă,agenție,False,99990,,,0/8,,,,0,,,,,,,,,Manastur
56,2,locuință nouă,agenție,False,185000,,,7/7,,,,2020,,,,,,,,,Europa
54,1,locuință nouă,agenție,False,75000,,,0/1,,,,0,,,,,,,,,Centru
105,4,locuință nouă,agenție,False,239500,,,9/10,,,,0,,,,,,,,,Manastur
98,3,locuință nouă,agenție,False,210000,,,1/3,,,,0,,,,,,,,,Buna Ziua
51,2,locuință nouă,agenție,False,145000,,,4/4,,,,0,,,,,,,,,Intre Lacuri
67,3,locuință nouă,agenție,False,145000,,,6/10,,,,0,,,,,,,,,Manastur
49,2,locuință nouă,agenție,False,145000,,,4/4,,,,0,,,,,,,,,Zorilor
110,3,locuință nouă,agenție,False,275000,,,1/2,,,,2023,,,,,,,,,Borhanci
72,3,locuință nouă,agenție,False,166000,,,4/4,,,,0,,,,,,,,,Gruia
